Route_ID;Route_Name;SERVICE_NA;UN;OP_NOC;DIST;PO_MOD;SENTIDO;COD_USUARI;COD_TS;COD_SINSER;COD_SINRUT;COD_USUSEN;TIPO_SERV;FREC_PM;FREC_PT;PLAZAS_PM;PLAZAS_PT;SEL_PM;SEL_PT;SEN1;VALIDA
8408;E17IPRN;VARIANTE PRENOCTURNA;3;;8.957072103;Sin Modificacion;I;E17;367;T367;T367 03I;E17I;2;0;0;0;0;0;0;0;1
8471;H09I;POBL. DAVILA - (M) CARLOS VALDOVINOS;3;;10.25887411;Sin Modificacion;I;H09;339;T339;T339 00I;H09I;1;4;4;457;441;1;1;0;1
8472;H09I_cvd;VARIANTE CICLOVIA;3;;11.28272761;Sin Modificacion;I;H09;339;T339;T339 07I;H09I;6;0;0;0;0;0;0;0;1
8473;H09I_fmavi;VARIANTE FERIA;3;;10.31956888;Sin Modificacion;I;H09;339;T339;T339 06I;H09I;5;0;0;0;0;0;0;0;1
8474;H04R;LA VICTORIA - (M) CARLOS VALDOVINOS;3;;6.561937738;Sin Modificacion;R;H04;334;T334;T334 00R;H04R;1;5;4;418;285;1;1;0;1
8492;F26I;VILLA PADRE HURTADO - SAN CARLOS ORIENTE;7;;9.27758955;Sin Modificacion;I;F26;F26;F26;F26 00I;F26I;1;5;5;304;285;1;1;0;1
8582;C10eI;(M) TOBALABA - CAMINO JUAN PABLO II;6;;20.65779851;Sin Modificacion;I;C10e;B60e;B60e;B60 E0 00I;C10eI;1;10;5;1088;561;1;1;0;1
10755;429R_fjudo;VARIANTE FERIA;4;;32.69563211;Sin Modificacion;R;429;429;T429;T429 08R;429R;5;0;0;0;0;0;0;0;1
8622;409R;PLAZA SAN ENRIQUE - MAPOCHO;4;;17.48770682;Sin Modificacion;R;409;409;T409;T409 00R;409R;1;4;6;462;643;1;1;0;1
8625;411R;PLAZA SAN ENRIQUE - PROVIDENCIA;4;;15.177028;Sin Modificacion;R;411;411;T411;T411 00R;411R;1;4;5;462;495;1;1;0;1
8626;503R;VITAL APOQUINDO -  AV. LA ESTRELLA;5;;28.80937641;Sin Modificacion;R;503;503;T503;T503 00R;503R;1;8;7;797;712;1;1;0;1
8660;I14NR;CENTRO - MALL PLAZA OESTE;3;SI;17.0989204;Sin Modificacion;R;I14N;384N;T384 C3;T384 C3 06R;I14NR;1;0;0;0;0;0;0;0;1
8667;514I;ENEA - SAN LUIS DE MACUL;5;;37.52332572;Sin Modificacion;I;514;514;T514;T514 00I;514I;1;0;6;0;620;0;1;0;1
8668;514IPM;VARIANTE PUNTA MAÑANA;5;;37.42503519;Sin Modificacion;I;514;514;T514;T514 01I;514I;2;5;0;581;0;1;0;0;1
8669;514I_cvd;VARIANTE CICLOVIA;5;;37.10727427;Sin Modificacion;I;514;514;T514;T514 06I;514I;6;0;0;0;0;0;0;0;1
8722;J18R;(M) SAN PABLO - ENEA;5;;11.15807501;Sin Modificacion;R;J18;538;T538;T538 00R;J18R;1;6;5;653;539;1;1;0;1
8728;541NR;COLON - EL TRANQUE;5;SI;31.45526049;Sin Modificacion;R;541N;541N;T541c3;T541 C3 00R;541NR;1;0;0;0;0;0;0;0;1
8742;J18R_fjudo;VARIANTE FERIA;5;;12.03164457;Sin Modificacion;R;J18;538;T538;T538 06R;J18R;5;0;0;0;0;0;0;0;1
8771;H05I;(M) CARLOS VALDOVINOS - POBL. DAVILA;3;;10.60527445;Sin Modificacion;I;H05;335;T335;T335 00I;H05I;1;4;4;247;212;1;1;0;1
8772;H05R;POBL. DAVILA - (M) CARLOS VALDOVINOS;3;;11.16260738;Sin Modificacion;R;H05;335;T335;T335 00R;H05R;1;5;4;282;212;1;1;0;1
8796;D14RPRN;VARIANTE PRENOCTURNA;4;;10.04260313;Sin Modificacion;R;D14;454;T454;T454 03R;D14R;2;0;0;0;0;0;0;0;1
8809;329IPRN;VARIANTE PRE NOCTURNO;3;;18.91297065;Sin Modificacion;I;329;329;T329;T329 03I;329I;2;0;0;0;0;0;0;0;1
8811;329IPRN_fmisa;VARIANTE FERIA;3;;18.94492278;Sin Modificacion;I;329;329;T329;T329 07I;329I;5;0;0;0;0;0;0;0;1
8825;410I;RENCA - PROVIDENCIA;6;;17.2665008;Sin Modificacion;I;410;B80;B80;B80 00I;410I;1;10;0;1181;0;1;0;0;1
8827;410IPT;VARIANTE PUNTA TARDE;6;;17.77911144;Sin Modificacion;I;410;B80;B80;B80 02I;410I;2;0;5;0;622;0;1;0;1
8830;410R;PROVIDENCIA - RENCA;6;;18.08122631;Sin Modificacion;R;410;B80;B80;B80 00R;410R;1;6;0;655;0;1;0;0;1
8832;410RPT;VARIANTE PUNTA TARDE;6;;17.5617912;Sin Modificacion;R;410;B80;B80;B80 02R;410R;2;0;10;0;1156;0;1;0;1
8836;E05I_fjudo;VARIANTE FERIA;3;;11.78252755;Sin Modificacion;I;E05;355;T355;T355 08I;E05I;5;0;0;0;0;0;0;0;1
